Kurs,Müddəti,Keçirilmə Forması,Kursun Qiyməti (Aylıq),Kimlər Üçündür?,Kursun Qısa Məzmunu,,,,,Marafonun adı,MARAFONUN Qiyməti,Müddəti (Ay),Daxildir ,Dərsin növü:,Əlaqə nömrəsi:,,Diplom nümunəsi:,Sertifikat nümunəsi,,Sual,Hazır cavab
Canva ,2 ay,Onlayn,60 AZN,"Dizayn bacarıqlarını inkişaf etdirmək istəyənlər, SMM mütəxəssisləri, sahibkarlar, müəllimlər, tələbələr, frilanserlər və sosial media üçün peşəkar vizuallar hazırlamaq istəyən hər kəs üçün uyğundur.",Canva və Canva pro verilir,,,,,Ofis Proqramları marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,https://kec.az/LyijU,https://kec.az/NqqFb,,Diplomlarınız rəsmidir?,Kurslarımızı uğurla başa vuran iştirakçılara KİNG EDUCATION COMPANY MMC tərəfindən daxili diplom və ya sertifikat təqdim olunur. Bu sənədlər təlimi uğurla bitirdiyinizi təsdiq edir.
Ofis Proqramları,1 ay,Onlayn,50 AZN,"Tələbələr, müəllimlər, dövlət və özəl sektor əməkdaşları, iş axtaranlar, ofis işçiləri və kompüter bacarıqlarını inkişaf etdirərək iş həyatında daha məhsuldar olmaq istəyən hər kəs üçün uyğundur.","Word, Excel, PowerPoint",,,,,Süni intellekt marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,Sertifikatlarınız rəsmidirmi?,"Bəli. Sertifikatlar KİNG EDUCATION COMPANY MMC-nin rəsmi sənədləri olaraq təqdim edilir və şirkətin möhürü, imzası və qeydiyyat məlumatları ilə təsdiqlənir."
Təlimçilik kursu,2 ay,Onlayn,70 AZN,"Sahibkarlar, tələbələr, iş axtaranlar, satış və SMM sahəsində işləmək istəyənlər, frilanserlər, startap qurucuları və məhsul və ya xidmətlərini daha effektiv tanıtmaq, müştəri sayını artırmaq istəyən hər kəs üçün uyğundur.","Auditoriyada davranış qaydaları, Effektiv təlim keçmək, Düzgün nitq və təqdimat bacarığı və s.",,,,,Hüquq marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,Sertifikatlar keçərlidirmi?,"Bəli. Sertifikatlar CV-yə əlavə edilə, şəxsi inkişaf və peşəkar fəaliyyətinizi göstərmək üçün istifadə oluna bilər. Onların qəbul olunması isə müraciət etdiyiniz müəssisə və ya təşkilatın daxili qaydalarından asılıdır."
Marketinq,3 ay,Onlayn,60 AZN,"Sahibkarlar, tələbələr, iş axtaranlar, satış və SMM sahəsində işləmək istəyənlər, frilanserlər, startap qurucuları və məhsul və ya xidmətlərini daha effektiv tanıtmaq, müştəri sayını artırmaq istəyən hər kəs üçün uyğundur.","Müştəri cəlb etməyi, satışları artırmağı və effektiv marketinq strategiyaları qurmağı öyrədir.",,,,,Rəqəmsal bacarıqlar marafonu (geniş),20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,Dövlət tərəfindən tanınırmı?,Onlar KİNG EDUCATION COMPANY MMC tərəfindən təqdim olunan təlim sertifikatlarıdır.
Biznesin İdarə Edilməsi,2 ay,Onlayn,65 AZN,"sahibkarlar, biznes qurmaq istəyənlər, şirkət rəhbərləri, menecerlər, startap qurucuları, tələbələr və biznes idarəetməsi sahəsində bilik və bacarıqlarını inkişaf etdirmək istəyən hər kəs üçün uyğundur.","Biznesi düzgün idarə etməyi, inkişaf etdirməyi və uğurlu qərarlar verməyi öyrədir.",,,,,Marketinq marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,Beynəlxalq sertifikat verirsiniz?,Bəzi proqramlarda tərəfdaş platformalar və ya beynəlxalq təşkilatlarla əməkdaşlıq çərçivəsində beynəlxalq sertifikat imkanı təqdim oluna bilər. Bu imkan bütün kurslara aid deyil.
Moderatorluq,1 ay,Onlayn,50 AZN,"Tədbirləri peşəkar şəkildə idarə etməyi, auditoriya ilə effektiv ünsiyyət qurmağı və çıxış bacarıqlarını inkişaf etdirməyi öyrədir.","Tədbirlərin peşəkar idarə olunması, effektiv ünsiyyət, səhnə mədəniyyəti və auditoriya ilə düzgün qarşılıqlı əlaqə bacarıqlarının formalaşdırılmasıdır.",,,,,Psixologiya marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,Hər şeyi öyrənəcəyimə qaranti verirsiniz?,"Biz peşəkar təlim, praktik məşğələlər və təlimçi dəstəyi təqdim edirik. Nəticə isə iştirakçının davamiyyəti, məşqləri və şəxsi səylərindən asılıdır. Buna görə hər kəs üçün eyni nəticəyə və ya ""100% öyrənəcəksiniz"" kimi qarantiyə zəmanət vermirik."
Süni İntellekt Mühəndisliyi,3 ay,Onlayn,60 AZN,"Süni İntellekt Mühəndisliyi kursu iştirakçılara süni intellekt texnologiyalarının əsaslarını və praktiki tətbiqini öyrədir. Kursda Python, Machine Learning, Deep Learning, neyron şəbəkələr, NLP, kompüter görməsi və AI layihələrinin hazırlanması kimi müasir mövzular tədris olunur. ","SMM kursu sosial media idarəçiliyi, kontent hazırlığı, reklam və rəqəmsal marketinq bacarıqlarını öyrədir.",,,,,Zamanın idarə olunması marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,Kursu bitirdikdən sonra işləyə biləcəyəm?,"Kurs zamanı nəzəri və praktik biliklər əldə edəcəksiniz. İşə qəbul isə bilik və bacarıqlarınız, müsahibə nəticələri və işəgötürənin tələblərindən asılıdır."
SMM,1 AY,Onlayn,70 AZN,"SMM kursu sosial media idarəçiliyi, kontent hazırlığı, reklam strategiyaları və rəqəmsal marketinq bacarıqlarını öyrədir. İştirakçılar brend tanıtımı və onlayn satış üçün praktiki biliklər əldə edirlər.",Sosial Media Marketinqin incəlikləri tədris olunur.,,,,,Özünü inkişaf marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,İşlə təmin edirsiniz?,Hazırda birbaşa işlə təminata zəmanət verilmir. Lakin imkan olduqda vakansiyalar paylaşılır və karyera istiqamətində məsləhət dəstəyi göstərilir.
Dizayn,2 ay,Onlayn,60 AZN,"Dizayn bacarıqlarını inkişaf etdirmək istəyənlər, SMM mütəxəssisləri, sahibkarlar, müəllimlər, tələbələr, frilanserlər və sosial media üçün peşəkar vizuallar hazırlamaq istəyən hər kəs üçün uyğundur.",Canva və Canva pro verilir,,,,,Şəxsi inkişaf marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,Sertifikatımı necə yükləyə bilərəm?,Saytda görünən axtarış hissəsinə ad soyadınıı axtararaq Sertifikatınızın qeydiyyatını görə bilərsiniz. Qeyd edim 11 iyul 2026-cı il tarixindən verilən bütün sertifikatlar və sənədlər saytda nüsxələnir və istənilən zaman endirə bilərsiniz
,,,,,,,,,,Liderlik marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
